discovery_probe	discovery_pvalue
217046_s_at                	5.52292062418651e-37
235649_at                  	4.80365099747394e-36
209470_s_at                	5.80748715873846e-36
209904_at                  	6.67676727165342e-36
209469_at                  	6.1471606850927e-33
210081_at                  	1.6519398595599e-32
206742_at                  	1.06548699279982e-31
204273_at                  	2.7520394664496e-31
203662_s_at                	8.42642097595821e-30
205384_at                  	8.73127373919656e-30
235670_at                  	1.16835384404587e-29
238018_at                  	7.92179875617547e-29
219866_at                  	1.02561635953549e-28
213900_at                  	1.15642230929765e-28
225855_at                  	1.27688124103549e-28
201292_at                  	2.03863093434892e-28
226992_at                  	2.68052760121117e-28
209773_s_at                	2.98372625507897e-28
201291_s_at                	4.27424233610901e-28
207547_s_at                	5.8047554793442e-28
213451_x_at                	7.26717678429219e-28
226397_s_at                	8.6860085557386e-28
222520_s_at                	1.02242039007077e-27
32625_at                   	1.08696518478298e-27
206167_s_at                	1.11677787203436e-27
228480_at                  	1.15717691542051e-27
204931_at                  	2.50422535166554e-27
204271_s_at                	3.04163771692502e-27
216333_x_at                	3.10604211259528e-27
209074_s_at                	3.19181907117592e-27
235155_at                  	3.35926318167063e-27
222608_s_at                	4.08730878654672e-27
218723_s_at                	4.27836815080928e-27
226627_at                  	4.79512197428715e-27
225915_at                  	5.81646102978422e-27
202870_s_at                	6.65580869955026e-27
236936_at                  	6.95782431596211e-27
212975_at                  	7.2221814386434e-27
206068_s_at                	7.23868035977297e-27
221132_at                  	8.79777333468024e-27
206093_x_at                	1.14492751739155e-26
206701_x_at                	1.20536926500236e-26
230132_at                  	1.30481577546948e-26
219719_at                  	1.42930358051977e-26
226101_at                  	1.69349657628322e-26
201890_at                  	1.74949923833232e-26
219452_at                  	1.99691577105896e-26
217871_s_at                	2.06344655333098e-26
227874_at                  	2.12430524651188e-26
221133_s_at                	2.7337582874926e-26
229529_at                  	3.1456178867967e-26
232122_s_at                	4.15492472641975e-26
225655_at                  	4.20396031614092e-26
209408_at                  	5.45692403783112e-26
219230_at                  	5.62852650908939e-26
230360_at                  	6.07843601940028e-26
215918_s_at                	8.72561257730669e-26
1556037_s_at               	8.76174747431119e-26
213715_s_at                	1.04628576562851e-25
206651_s_at                	1.07984758900264e-25
227178_at                  	1.21206817340314e-25
1556579_s_at               	1.2541962343396e-25
AFFX-HUMGAPDH/M33197_M_at  	1.42670460420799e-25
204026_s_at                	1.96569752202127e-25
1554408_a_at               	2.04421390977206e-25
228967_at                  	2.15906867113751e-25
222717_at                  	2.32601281032554e-25
209710_at                  	2.74968338655773e-25
212581_x_at                	2.76626347064815e-25
222738_at                  	3.23479726407325e-25
217398_x_at                	3.56167612066077e-25
224061_at                  	3.83033656215057e-25
201577_at                  	4.82052171876157e-25
219918_s_at                	4.83377390494265e-25
229308_at                  	4.95330303746107e-25
223623_at                  	5.20892759999822e-25
226856_at                  	5.40558303309665e-25
219999_at                  	6.03051699873862e-25
228273_at                  	6.87555036185951e-25
202503_s_at                	6.89672009863802e-25
AFFX-HUMGAPDH/M33197_3_at  	7.13174482940959e-25
227198_at                  	7.90995667451444e-25
223311_s_at                	8.14629909574705e-25
227419_x_at                	8.35569002076461e-25
235568_at                  	8.82695209763542e-25
210052_s_at                	9.21619845664607e-25
228434_at                  	9.9234975352363e-25
213011_s_at                	1.04278751325274e-24
230135_at                  	1.07733938649347e-24
225078_at                  	1.35167498707712e-24
204825_at                  	1.37786500319217e-24
202705_at                  	1.48570543209844e-24
224428_s_at                	1.54479837833343e-24
202095_s_at                	1.54532317396533e-24
230250_at                  	1.64282473856848e-24
214687_x_at                	1.73930945231768e-24
240890_at                  	1.73991134636917e-24
AFFX-HUMGAPDH/M33197_5_at  	1.8022281583674e-24
206702_at                  	1.92743545552245e-24
205200_at                  	2.05008965562098e-24
