discovery_probe	control 44	control 18	control 59	control 56	control 61	control 65	control 73	control 49	control 38	control 15	control 40	control 11	control 89	control 87	control 55	control 24	control 46	control 22	control 54	control 76	control 63	control 35	control 28	control 30	control 81	control 74	control 57	control 13	control 53	control 4	control 71	control 20	control 2	control 85	control 33	tumor   27	tumor   84	tumor   47	tumor   12	tumor   1	tumor   34	tumor   80	tumor   3	tumor   31	tumor   83	tumor   5	tumor   78	tumor   37	tumor   50	tumor   23	tumor   66	tumor   41	tumor   36	tumor   6	tumor   14	tumor   17	tumor   62	tumor   52	tumor   25	tumor   39	tumor   16	tumor   72	tumor   58	tumor   86	tumor   21	tumor   19	tumor   70	tumor   77	tumor   90	tumor   75
217046_s_at                	9.64813098901099	9.48887175824176	9.61751054945054	8.45561516483517	9.49908769230769	8.73709351648352	9.75050791208791	10.2559682417582	9.39533406593407	9.28782351648352	7.66954010989011	9.72489439560439	9.41060659340659	9.70064087912088	7.44335065934066	9.59956175824176	9.77089967032967	9.81648032967033	9.27340686813187	9.37975450549451	9.91226384615385	9.37026032967032	9.47628307692308	7.90787967032967	9.53097098901098	9.14980505494505	10.0582614285714	9.65498093406593	8.20747043956044	8.91688021978022	9.66796857142857	8.94941296703296	9.58061406593406	9.18827412087912	9.52787417582418	5.48723692307692	4.75792747252747	4.67395912087912	4.49389593406593	5.11147956043956	7.67521362637362	4.63618263736264	5.34253791208791	5.71753131868132	4.8364356043956	5.29386450549451	5.42413384615384	5.25134714285714	4.51850472527472	5.24962659340659	4.77156538461538	5.34415296703297	4.49322197802198	4.6260106043956	4.4413978021978	6.80643010989011	4.59331692307692	4.66806472527473	5.22339340659341	4.10597351648351	4.17042835164835	4.79913483516484	4.88324373626374	5.69205835164835	5.14187505494505	4.13343527472527	4.41628296703297	5.22469412087912	4.5064221978022	4.26739978021978
235649_at                  	9.97082043956044	8.69816637362637	10.0058540659341	8.89770395604396	9.40558340659341	9.47487791208791	9.17380351648351	9.69160120879121	9.4822767032967	10.1105426373626	7.53658472527472	10.0981082417582	9.24007697802198	9.00425131868132	8.41230802197802	8.91616692307692	9.3219921978022	10.2813637362637	8.70354054945055	9.05858692307692	8.66426923076923	9.78131582417582	10.3032076923077	8.94870681318681	10.5592043956044	9.15522967032967	9.94487021978022	10.0842242857143	9.50428	7.98386637362638	8.59250956043956	8.87278010989011	8.55408857142857	9.34203571428571	9.89720175824176	5.93134395604396	6.38036527472527	4.69404384615385	4.7650028021978	5.01255813186813	7.34207725274725	4.83885725274725	5.71113857142857	5.88188241758241	4.84571978021978	6.84219153846154	5.4214632967033	4.60199032967033	4.86317038461539	5.47298164835165	4.62309604395604	5.18797461538461	5.04291846153846	4.56905054945055	4.8300510989011	5.67404505494505	5.35388813186813	4.75803912087912	4.6267489010989	4.7328810989011	4.83424175824176	4.50805005494506	4.32001571428571	5.0015589010989	4.66433186813187	4.46366131868132	4.97585439560439	4.51947802197802	4.84988142857143	5.96320824175824
209470_s_at                	9.18847439560439	9.01068912087912	8.85107752747253	7.11472736263736	8.79418483516483	7.09197087912088	9.17536604395604	9.56636065934066	8.65624945054945	8.59689967032967	7.78271615384615	8.67760318681319	9.49540021978022	8.87726395604396	5.56760236263736	9.06001879120879	7.67350648351648	8.87242791208791	7.65028450549451	9.28042362637363	9.27107846153847	9.02893208791209	8.35614373626374	7.27000637362637	8.46599824175824	9.07252769230769	8.01132516483516	9.03232978021978	7.89304131868132	8.12570868131868	9.0737810989011	8.08945846153846	9.28042362637363	9.23650153846154	8.51264879120879	4.19615967032967	3.7418589010989	3.93761467032967	3.91031054945055	3.27590648351648	6.89257252747253	3.61001032967033	3.39456351648352	3.20133901098901	3.64025054945055	3.7188739010989	3.45557593406593	3.21919571428571	3.67894010989011	3.96187197802198	3.95119401098901	3.67464483516484	3.60691285714286	3.20546285714286	3.42640351648351	5.33128164835165	3.62840208791209	3.3423	3.49537318681319	3.76773934065934	3.51412098901099	3.45940967032967	3.6288378021978	3.62963032967033	3.66630714285714	3.34280813186813	3.42640351648351	3.58151296703297	3.63015197802198	3.40435681318681
209904_at                  	8.93249681318682	9.23356406593407	8.86640736263736	7.52245208791209	8.44831791208791	7.36937197802198	9.15522967032967	9.14382417582418	8.5623134065934	9.45847478021978	7.23379098901099	8.98064769230769	9.12023197802198	8.97756313186813	6.1987356043956	9.26931417582417	9.08717802197802	8.91071384615385	8.46629197802198	8.83784472527473	9.29272648351648	8.58254362637362	8.16682208791209	8.20374758241758	8.75366769230769	9.04157318681319	9.14605164835165	8.57288967032967	7.55416054945055	9.47352560439561	9.56937527472527	8.20030318681319	9.67002153846154	8.18269857142857	8.46812318681319	4.18428538461538	5.16210758241758	3.44991505494505	4.0577054945055	3.3742110989011	6.84672175824176	3.54726714285714	3.88354835164835	3.59404868131868	3.26128461538462	5.17063131868132	3.46539241758242	4.12694571428572	3.57945802197802	4.59738582417582	3.63046989010989	4.28879868131868	3.88725098901099	3.64678131868132	3.54243362637363	5.80300164835165	3.80713835164835	3.5364267032967	3.26536021978022	4.15201428571428	3.68868230769231	3.9713021978022	3.81156032967033	4.91867076923077	4.96219758241758	4.74095758241758	3.75898956043956	3.73865186813187	3.75419054945055	4.35112406593407
209469_at                  	8.46200912087912	8.08477120879121	8.05757296703297	6.4332821978022	8.27080098901099	7.01614230769231	8.61564923076923	9.17046549450549	8.1799034065934	8.26758252747253	7.78313043956045	8.29978065934066	8.55655164835165	8.03445967032967	5.22388186813187	8.26649747252747	7.19979285714286	8.33848351648352	7.21285637362637	8.28653208791209	8.47384923076923	8.66398230769231	7.37474098901099	7.02544329670329	8.4314554945055	8.92591362637363	8.03517296703297	8.53060131868132	7.60034516483517	7.55760406593406	8.62907142857143	7.42197571428571	8.84955450549451	8.78483450549451	8.43289065934066	4.42365505494505	4.22677093406593	4.17748340659341	4.01879912087912	3.96668824175824	6.45280857142857	3.92003626373626	3.65451142857143	3.99153758241758	3.82516868131868	4.11250791208791	3.57695604395604	3.73751747252747	4.03185395604396	4.05493461538461	3.98668846153846	4.00442879120879	3.77851285714286	3.3540467032967	3.86344142857143	5.08463747252747	3.92189923076923	4.05789615384615	3.77289543956044	4.3502365934066	3.71729467032967	3.9212378021978	3.92384054945055	4.13000901098901	3.78697351648352	3.69022307692308	3.69103197802198	4.05809769230769	3.74201	3.86860208791209
210081_at                  	11.8649758241758	10.9269879120879	11.501121978022	9.37071824175824	11.6609593406593	10.4407659340659	11.7248692307692	11.4749626373626	11.1057065934066	11.1503659340659	9.56232197802198	11.480721978022	11.5071142857143	11.6588395604396	9.06659104395604	10.9947538461538	11.023256043956	11.8041318681319	10.851828021978	11.4973505494506	11.8830054945055	11.4114461538462	11.1391747252747	9.92750725274725	11.432454945055	10.7768153846154	11.6675164835165	11.4265505494505	9.89047912087912	10.6281813186813	11.5877208791209	10.5898186813187	11.4525895604396	11.268221978022	10.8946087912088	6.71408043956044	6.11913208791209	4.67605527472528	4.19851560439561	4.83539494505495	9.27567	4.70336131868132	5.24531802197802	4.48602516483516	4.51203450549451	6.51610087912088	5.2966678021978	4.7957182967033	4.09973120879121	6.67541076923077	4.50779549450549	5.87579307692308	4.59127934065934	4.87882406593407	4.74951637362637	8.38651824175824	4.29723681318681	4.73574296703297	4.60274714285714	4.69286615384615	4.52549406593407	5.65140395604396	5.15792065934066	6.31565483516484	5.98639791208791	5.58340813186813	4.50312846153846	5.46651978021978	4.76510736263736	4.26770417582418
206742_at                  	9.53488	8.74872978021978	9.66223769230769	7.99867879120879	9.18974439560439	9.57268857142857	9.95291747252747	9.07576494505495	10.1340332967033	8.97206736263736	8.69916285714286	9.83466406593407	8.84458978021978	8.64526714285714	7.42395912087912	9.73633461538461	9.05858692307692	10.6202428571429	8.97955307692308	9.50478021978022	10.2120197802198	9.37936505494506	9.58333956043955	7.88783021978022	10.3643076923077	9.77648384615384	9.20363868131868	8.8454932967033	6.82267197802198	7.4374356043956	8.78944373626374	8.74688714285714	9.21787527472527	7.97164483516484	9.02376296703297	6.09257038461539	4.97771615384615	4.05294494505495	4.49605032967033	4.48711703296703	7.49173373626374	4.12227197802198	4.04208692307692	4.1560556043956	4.17430032967033	6.26754164835165	4.3289989010989	4.43538131868132	4.06128076923077	5.69780934065934	4.37607846153846	4.91973197802198	3.85154659340659	3.86776714285714	3.69857472527473	7.04391681318682	3.82094978021978	3.9982254945055	4.21243637362637	3.87368758241758	4.0371310989011	5.02721681318681	4.94066186813187	4.74001868131868	4.422545	4.55084945054945	4.41176846153846	4.64424351648351	4.50182076923077	4.53797076923077
204273_at                  	10.3368175824176	9.13893208791209	9.29403186813187	8.62404637362637	9.30858989010989	8.96813362637363	9.77263934065934	9.3947510989011	9.0455389010989	9.78017538461538	8.16480593406593	9.46429164835165	8.90968769230769	9.19097384615385	8.72499043956044	9.57421813186813	8.94941296703296	9.4898645054945	8.55005824175824	10.017013956044	9.92230747252747	9.70170274725275	9.1613712087912	7.25858516483517	9.10327802197802	9.88333967032967	8.59838560439561	9.00671626373627	8.50147021978022	8.22768318681318	9.57043945054945	8.91438098901099	10.1082018681319	9.57160384615385	8.76905461538462	6.63891505494506	4.87725241758242	5.94009483516484	4.61077373626374	4.09629791208791	7.43956824175824	4.98224296703297	4.37779736263736	4.75166417582417	5.5366878021978	5.69442747252747	4.63859692307692	5.05565175824176	4.92047274725275	6.2699810989011	5.02247142857143	5.85580225274725	4.18079362637363	4.29349274725275	4.6488578021978	6.77526285714286	5.17489104395604	5.2313289010989	5.61886076923077	5.81238340659341	4.75908659340659	4.64858274725275	5.86553736263736	6.7636134065934	5.82990604395604	4.47090428571429	5.10766307692308	5.37593197802198	4.6484321978022	6.36377758241758
203662_s_at                	7.01814769230769	7.08475164835165	6.74305626373627	6.1621456043956	6.5528067032967	6.73786395604396	6.40135164835165	7.42395912087912	6.37844032967033	6.93194615384616	6.65920197802198	6.62426494505494	6.53958758241758	6.85033065934066	5.58490582417582	7.27414175824176	6.45659186813187	6.32421131868132	6.38988428571429	6.62182934065934	6.92720252747253	6.53804032967033	6.98186483516483	6.75168615384616	6.54324769230769	6.51020604395604	7.23971131868132	7.54558340659341	6.68051516483517	6.60536538461539	6.51958120879121	5.94376032967033	6.67070835164835	7.08101923076923	6.76803692307692	5.20262439560439	5.17352912087912	4.65879285714286	4.7288621978022	4.87178725274725	5.35860318681319	4.62716087912088	4.70658450549451	4.89741582417582	5.26137527472528	5.26201637362637	5.27330131868132	5.08336043956044	4.74311824175824	4.93373978021978	5.41148428571429	4.85719615384615	4.94239873626374	5.36940263736264	4.88968120879121	5.20749681318681	4.54100373626374	4.69725956043956	4.97640692307692	4.73735664835165	5.03336582417582	4.65683791208791	4.74926241758242	5.03828637362637	4.8663654945055	4.40887483516483	5.09708725274725	4.87674989010989	5.20672021978022	5.34996615384615
205384_at                  	8.87011252747253	9.30549208791209	7.68958285714286	8.37357758241759	8.17852945054945	8.30794934065934	9.12787494505494	10.2781681318681	9.36452978021978	8.98376582417583	9.09135659340659	8.78250428571429	8.80619736263736	8.18974824175825	7.7691121978022	9.09965351648352	8.91964593406593	8.80749582417582	8.74316005494506	8.70354054945055	9.05121142857143	8.41470340659341	9.3813782967033	8.90454846153846	9.21578879120879	8.54889461538461	9.3189178021978	9.98016362637363	8.05361384615385	8.38703824175824	8.44412934065934	8.58643945054945	8.59925626373626	7.9962456043956	8.82606648351648	6.8987245054945	6.19774175824176	5.80660296703297	6.38604197802198	5.71146758241758	7.20511538461539	6.35352571428571	6.08467104395604	5.47176241758242	5.20918197802198	7.22676274725275	6.64529978021978	6.07706945054945	5.0003156043956	6.5638178021978	6.17924285714286	5.86789423076923	5.87111510989011	5.60882967032967	6.13181505494505	7.10004159340659	6.4881812087912	5.91319423076923	5.99054263736264	5.7265189010989	6.10808494505495	6.3701043956044	6.25007505494506	5.66786406593406	6.19092483516484	5.88802835164835	6.61457230769231	6.16535846153846	5.89390813186813	7.33972846153846
